reporter_iso3,year,hs_cmd,imports_from_china_usd
THA,2019,85,37157755.402
THA,2019,85,274823.838
THA,2019,85,4162795.679
THA,2019,84,6362.029
THA,2019,85,31948.211
THA,2019,85,639623.613
THA,2019,85,24503913.503
THA,2019,84,45663413.203
THA,2019,84,216894.795
THA,2019,84,4419307.158
THA,2019,84,422971.955
THA,2019,84,107409.506
THA,2019,84,489853381.378
THA,2019,85,1106695.998
THA,2019,85,84071200.158
THA,2019,85,2618.553
THA,2019,85,43668.516
THA,2019,85,762165786.514
THA,2019,85,189586.397
THA,2019,84,3546.177
THA,2019,84,4301987.845
THA,2019,84,253212.191
THA,2019,85,5640.524
THA,2019,85,2549662.404
THA,2019,85,38137959.564
THA,2019,85,3801466.1
THA,2019,85,252424.548
THA,2019,85,214316600.549
THA,2019,85,18820.996
THA,2019,85,3586.986
THA,2019,85,33049.59
THA,2019,85,355.658
THA,2019,85,631458.887
THA,2019,85,1210386.125
THA,2019,84,267908.009
THA,2019,84,8094288.935
THA,2019,84,15622.291
THA,2019,84,341053303.589
THA,2019,85,36998.574
THA,2019,85,118234409.804
THA,2019,85,7111134.809
THA,2019,85,66116124.963
THA,2019,85,1034432936.69
THA,2019,85,36038.11
THA,2019,85,405.345
THA,2019,85,10019.299
THA,2019,85,19562.785
THA,2019,84,3405.767
THA,2019,84,1576769.201
THA,2019,85,1487.13
THA,2019,85,1251.399
THA,2019,85,34283.523
THA,2019,84,54659.428
THA,2019,84,18654.309
THA,2019,84,58275.38
THA,2019,84,13304.996
